codigo;puntos;id;titulo;Dificulty;Abstraction1;Abstraction2;Abstraction2;Decomposition1;Decomposition2;Decomposition3;Decomposition4;Pattern_Recognition_and_Generalization1;Pattern_Recognition_and_Generalization2;Pattern_Recognition_and_Generalization3;Pattern_Recognition_and_Generalization4;Algorithmic_thinking1;Algorithmic_thinking2;Algorithmic_thinking3;Algorithmic_thinking4;Algorithmic_thinking5
hito3_ej2;1;52;Ornitología 2;4.25;1.0;0.75;0.5;0.75;0.5;0.5;0.5;0.75;0.25;0.25;0.25;0.5;0.0;0.25;0.0;0.0
hito3_ej3;1;34;Ornitología 3;4.5;0.75;0.75;0.75;0.75;0.5;0.25;0.75;0.75;0.25;0.5;0.25;0.5;0.25;0.25;0.0;0.0
tema9_ej4;2;43;Clase Usuario;5.25;1.0;0.75;1.0;1.0;1.0;0.75;1.0;0.75;0.25;0.75;0.5;0.5;0.5;0.75;0.25;0.5
tema9_ej3;1;27;Decodificador;5.0;1.0;0.75;0.75;1.0;0.75;0.75;0.75;0.75;0.75;0.25;0.25;0.75;0.25;0.25;0.25;0.5
tema9_ej2;2;20;Multiplicación de Matrices;4.25;1.0;1.0;0.25;1.0;0.75;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.25;0.25;0.0;0.25
tema9_ej1;2;15;Twitter;5.75;1.0;0.75;0.75;1.0;1.0;0.75;0.75;0.75;0.25;0.75;0.5;0.75;0.5;0.5;0.0;0.25
tema3_ej3;2;19;Cuenta Corriente en un Banco;5.0;1.0;0.5;0.75;1.0;0.75;0.75;0.75;1.0;0.25;0.25;0.25;0.25;0.25;0.5;0.0;0.25
tema3_ej2;2;24;Clase Vector3D;5.5;1.0;0.75;0.75;1.0;0.5;0.5;1.0;0.5;0.5;0.25;0.0;0.75;0.75;0.25;0.0;0.0
tema3_ej4;2;39;Clase Fracción;3.5;0.75;0.25;0.5;0.75;0.5;0.5;0.25;0.5;0.25;0.25;0.0;0.5;0.25;0.25;0.0;0.25
tema3_ej5;2;49;Caminos entre ciudades;5.0;1.0;1.0;0.75;1.0;0.75;0.25;0.75;0.5;0.75;0.5;0.25;0.75;0.25;0.25;0.25;0.5
tema4_ej2;3;14;Clase Auto;5.25;1.0;0.5;0.75;1.0;1.0;0.5;1.0;0.5;0.5;0.75;0.25;0.25;0.5;0.5;0.0;0.25
tema8_ej5;2;41;Clase FechaHora;5.5;0.75;0.75;0.75;0.75;1.0;0.25;1.0;0.75;0.5;0.75;0.25;0.5;0.25;0.25;0.25;0.0
tema8_ej1;2;31;Carro de Compras;5.75;1.0;1.0;0.75;1.0;1.0;0.5;1.0;1.0;0.5;0.25;0.25;0.75;0.25;0.5;0.5;0.5
tema9_ej5;4;40;Juego del Gato;6.5;1.0;0.75;0.75;1.0;1.0;0.75;0.75;1.0;1.0;0.75;0.75;0.5;0.75;0.5;0.75;0.75
