id_estudiante,t1,t2,t3,t4,t5,t6,r1,r2,r3,r4,r5,r6,p1,p2,p3,p4,p5,p6,op1,op2,op3,op4,op5,op6,score_a,score_p,score_d,score_s
181,45.81430563,73.3457454,94.061473,53.763301,40.8144456,47.913951,1,3,1,1,1,1,6,13,11,5,3,5,1,1,1,1,1,1,5,2,3,3
182,107.1421917,112.6983553,83.4983063,84.6359004,44.443604,58.2312657,1,1,1,2,1,1,12,20,19,20,4,3,0,0,0,1,0,0,3,4,1,2
183,24.36060234,64.13937603,95.007708,41.6598863,42.7392317,58.4427826,1,2,1,1,1,1,2,6,10,3,4,5,1,0,1,1,0,1,1,1,2,1
184,30.63289703,46.6995596,46.749402,33.1495707,22.5163037,27.9163113,1,2,1,1,1,1,1,5,7,4,2,4,1,1,1,0,1,1,6,3,3,3
185,75.2981677,39.640816,72.3657497,42.806328,84.2623363,65.8341173,1,1,1,1,1,1,18,10,40,15,13,9,0,1,0,0,0,0,1,3,1,2
186,101.4355374,24.573922,291.307436,68.1548673,66.5814653,24.360502,3,1,5,3,1,1,24,10,78,20,8,10,1,1,0,0,1,1,4,4,2,3
187,398.1965734,30.3048,84.92756,28.2146333,73.60736,45.1384867,6,1,2,1,3,1,41,5,9,4,12,4,0,1,1,1,0,1,6,5,2,4
188,114.017101,52.937155,80.712779,51.638285,71.604135,42.745996,2,1,1,1,1,1,20,10,11,3,5,4,0,0,1,1,0,1,5,2,2,2
189,49.75804667,48.48978003,118.4655066,134.5341133,75.95284,101.8491133,1,1,1,2,2,2,2,2,5,7,5,7,1,1,0,0,0,0,4,1,2,2
190,106.9635677,43.585224,98.2667017,89.519722,44.568337,42.218988,2,1,1,1,1,1,6,6,6,8,3,3,0,1,0,0,0,1,5,5,1,1
191,110.2076633,116.9466637,180.5646904,43.7496163,61.3987367,94.2001583,1,1,1,1,1,2,4,29,31,5,7,9,0,0,0,1,0,0,8,5,4,3
192,93.58326197,42.049929,135.566581,108.9499174,45.266466,31.766594,3,1,2,5,2,1,6,5,8,10,7,3,1,1,0,1,0,1,6,5,3,3
193,34.496573,149.137532,306.441133,65.3287153,27.363509,80.1442223,1,3,4,1,1,1,1,14,25,5,3,12,0,1,0,0,1,0,2,3,1,1
194,20.3425266,67.5160134,73.79376,49.7522,69.44498,35.7933733,1,1,1,2,3,1,3,10,11,6,10,6,1,0,1,1,1,1,4,4,1,2
195,62.6875896,140.5363876,128.1909304,137.4396903,121.7055107,113.2959697,1,9,1,1,2,1,1,8,5,6,2,3,1,1,1,0,0,1,4,2,3,2
196,68.4610394,45.917745,138.817764,109.1131066,48.966453,171.3406027,2,1,1,2,1,2,9,6,13,7,4,13,1,1,0,1,0,0,4,2,1,2
197,292.9466316,104.38122,97.0883024,98.3039473,221.4830493,1448.764917,15,1,1,1,2,18,129,32,30,29,61,342,0,0,0,0,0,0,4,2,3,3
198,88.39679033,55.047375,126.2106413,75.879921,57.430594,226.3394,2,1,1,2,1,7,3,4,5,4,3,17,0,0,0,1,0,0,5,5,2,3
199,181.7030663,40.1485094,207.762609,38.631103,42.1992883,48.56828,11,1,3,1,2,1,43,11,39,5,6,6,0,1,1,0,1,0,3,2,1,2
200,28.97202533,93.206196,156.9206133,56.5075724,37.087303,70.656054,1,2,2,1,1,1,1,4,17,9,4,3,1,0,0,1,0,0,2,0,2,3
201,125.7812866,109.5966257,143.731094,152.3063457,81.523008,141.2666603,1,1,1,2,1,1,16,26,34,34,21,16,0,0,0,0,0,0,3,4,1,2
202,310.039418,99.1405207,178.2444146,176.5226717,80.1765943,85.1183357,4,1,1,1,1,1,14,4,15,5,2,9,0,0,0,0,0,0,3,2,1,2
