rut,programa,hito1,hito2,hito3,hito4,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,sol1,sol2,sol3,sol4
675,INGENIERIA CIVIL INFORMATICA,16,0,0,0,8,23,:25:17:26:29:23:3:42:18,,,,2.2,,,
676,INGENIERIA EN COMPUTACION E INFORMATICA,3,0,0,0,3,13,:25:17:4,,,,2.2,,,
677,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,5,11,:25:17:4:22:3,,,,2.2,,,
678,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,2.2,,,
679,INGENIERIA CIVIL INFORMATICA,8,0,0,0,5,11,:25:17:4:26:23,,,,2.2,,,
680,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,2.2,,,
681,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,2.2,,,
682,INGENIERIA EN COMPUTACION E INFORMATICA,5,0,0,0,4,27,:25:17:4:26,,,,2.2,,,
683,INGENIERIA EN COMPUTACION E INFORMATICA,25,0,0,0,14,17,:25:17:4:26:29:23:0:22:10:3:7:32:18:35,,,,2.2,,,
684,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,2.2,,,
685,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,2.2,,,
686,INGENIERIA CIVIL INDUSTRIAL,1,0,0,0,1,15,:17,,,,2.2,,,
687,INGENIERIA EN COMPUTACION E INFORMATICA,15,0,0,0,9,7,:25:17:4:26:29:23:0:22:10,,,,2.2,,,
688,INGENIERIA CIVIL INDUSTRIAL,8,0,0,0,5,26,:25:17:4:23:22,,,,2.2,,,
689,INGENIERIA EN COMPUTACION E INFORMATICA,20,0,0,0,11,5,:25:17:4:26:29:23:0:22:10:3:42,,,,2.2,,,
690,INGENIERIA CIVIL INDUSTRIAL,11,0,0,0,6,10,:25:4:26:23:10:42,,,,2.2,,,
691,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,25,:25:17:4:22:3:35,,,,2.2,,,
692,INGENIERIA CIVIL INDUSTRIAL,8,0,0,0,4,27,:25:26:22:35,,,,2.2,,,
693,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,9,22,:25:17:4:26:29:23:0:22:10,,,,2.2,,,
694,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,2.2,,,
695,INGENIERIA EN COMPUTACION E INFORMATICA,8,0,0,0,5,26,:25:17:23:22:10,,,,2.2,,,
696,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,7,9,:25:17:4:26:29:22:10,,,,2.2,,,
697,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,2.2,,,
698,INGENIERIA EN COMPUTACION E INFORMATICA,28,0,0,0,15,16,:25:17:4:26:29:23:0:22:10:3:42:7:32:18:35,,,,2.2,,,
699,INGENIERIA EN COMPUTACION E INFORMATICA,17,0,0,0,10,6,:25:17:4:26:29:23:0:22:10:18,,,,2.2,,,
700,INGENIERIA CIVIL INDUSTRIAL,8,0,0,0,4,12,:25:26:22:35,,,,2.2,,,
701,INGENIERIA CIVIL INFORMATICA,2,0,0,0,2,14,:25:4,,,,2.2,,,
702,INGENIERIA CIVIL INFORMATICA,25,0,0,0,12,19,:25:17:26:29:0:22:42:7:32:13:18:35,,,,2.2,,,
703,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:26:23:22,,,,2.2,,,
704,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,2.2,,,
705,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,2.2,,,
706,INGENIERIA INDUSTRIAL,5,0,0,0,4,12,:25:17:4:26,,,,2.4,,,
707,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,2.4,,,
708,INGENIERIA EN COMPUTACION E INFORMATICA,29,0,0,0,15,16,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18,,,,2.4,,,
709,INGENIERIA EN COMPUTACION E INFORMATICA,4,0,0,0,3,28,:25:17:22,,,,2.4,,,
710,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,2.4,,,
711,INGENIERIA CIVIL INFORMATICA,11,0,0,0,6,25,:25:17:4:22:32:13,,,,2.4,,,
712,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,2.4,,,
713,INGENIERIA CIVIL INFORMATICA,4,0,0,0,3,13,:25:17:32,,,,2.4,,,
714,INGENIERIA CIVIL INFORMATICA,3,0,0,0,3,13,:25:17:4,,,,2.4,,,
715,INGENIERIA EN COMPUTACION E INFORMATICA,29,0,0,0,14,17,:25:17:4:26:29:23:0:22:10:3:42:13:18:35,,,,2.4,,,
716,INGENIERIA CIVIL INFORMATICA,12,0,0,0,9,38,:25:17:17:4:4:29:0:22:3,,,,2.4,,,
717,INGENIERIA CIVIL INDUSTRIAL,19,0,0,0,11,5,:25:17:4:26:29:23:0:22:10:3:18,,,,2.4,,,
718,INGENIERIA CIVIL INDUSTRIAL,19,0,0,0,11,5,:25:17:4:26:29:23:0:22:10:3:18,,,,2.4,,,
719,INGENIERIA CIVIL INDUSTRIAL,17,0,0,0,10,6,:25:17:4:26:29:23:0:22:10:3,,,,2.5,,,
720,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,7,9,:25:17:4:22:10:3:18,,,,2.5,,,
721,INGENIERIA INDUSTRIAL,21,0,0,0,12,4,:25:17:4:26:29:0:22:10:3:42:7:35,,,,2.5,,,
722,INGENIERIA INDUSTRIAL,15,0,0,0,9,7,:25:17:4:26:29:23:0:22:10,,,,2.5,,,
723,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,2.5,,,
724,INGENIERIA EN COMPUTACION E INFORMATICA,7,0,0,0,5,26,:25:17:4:26:29,,,,2.5,,,
725,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,31,,,,,2.5,,,
726,INGENIERIA EN COMPUTACION E INFORMATICA,32,0,0,0,16,0,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,,,,2.5,,,
727,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,8,23,:17:4:26:29:0:22:10:3,,,,2.5,,,
728,INGENIERIA EN COMPUTACION E INFORMATICA,18,0,0,0,10,21,:25:17:4:23:0:22:10:7:32:13,,,,2.5,,,
729,INGENIERIA EN COMPUTACION E INFORMATICA,42,12,0,0,26,37,:25:25:17:17:4:4:26:29:29:23:0:22:10:3:42:7:7:32:13:13:18:35,:6:1:28:12,,,2.5,,,
730,INGENIERIA INDUSTRIAL,3,0,0,0,3,13,:25:17:4,,,,2.5,,,
731,INGENIERIA CIVIL INDUSTRIAL,11,0,0,0,7,9,:25:17:4:23:22:10:3,,,,2.6,,,
732,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,7,24,:25:17:4:26:29:22:10,,,,2.6,,,
733,INGENIERIA EN COMPUTACION E INFORMATICA,1,0,0,0,1,15,:17,,,,2.6,,,
734,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,5,11,:25:17:4:26:22,,,,2.6,,,
735,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,2.6,,,
736,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,2.6,,,
737,INGENIERIA CIVIL INFORMATICA,2,0,0,0,2,14,:25:17,,,,2.6,,,
738,INGENIERIA INDUSTRIAL,20,0,0,0,11,5,:25:17:4:26:29:23:0:22:10:3:42,,,,2.6,,,
739,INGENIERIA EN COMPUTACION E INFORMATICA,27,0,0,0,14,2,:25:17:4:26:29:23:0:22:10:7:32:13:18:35,,,,2.7,,,
740,INGENIERIA CIVIL INFORMATICA,3,0,0,0,3,13,:25:17:4,,,,2.7,,,
741,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,8,23,:25:17:4:26:23:0:22:10,,,,2.7,,,
742,INGENIERIA CIVIL INDUSTRIAL,2,0,0,0,2,14,:17:4,,,,2.7,,,
743,INGENIERIA CIVIL INDUSTRIAL,27,0,0,0,14,2,:25:17:4:26:29:23:0:22:10:7:32:13:18:35,,,,2.7,,,
744,INGENIERIA EN COMPUTACION E INFORMATICA,14,0,0,0,8,8,:25:17:26:29:23:0:22:10,,,,2.7,,,
745,INGENIERIA CIVIL INDUSTRIAL,11,0,0,0,7,9,:25:17:4:26:29:22:3,,,,2.7,,,
746,INGENIERIA CIVIL INDUSTRIAL,23,0,0,0,13,18,:25:17:4:26:29:23:0:22:10:3:7:18:35,,,,2.8,,,
747,INGENIERIA CIVIL INDUSTRIAL,2,0,0,0,2,14,:25:17,,,,2.8,,,
748,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,2.8,,,
749,INGENIERIA CIVIL INDUSTRIAL,11,0,0,0,7,9,:25:17:4:26:23:10:3,,,,2.8,,,
750,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,2.8,,,
751,INGENIERIA EN COMPUTACION E INFORMATICA,2,0,0,0,1,15,:18,,,,2.8,,,
752,INGENIERIA CIVIL INDUSTRIAL,25,0,0,0,13,3,:25:17:4:26:29:23:0:22:10:3:42:18:35,,,,2.8,,,
753,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,2.8,,,
754,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,2.8,,,
755,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,2.8,,,
756,INGENIERIA CIVIL INDUSTRIAL,18,0,0,0,10,21,:25:17:4:26:23:0:22:10:3:35,,,,2.8,,,
757,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,2.8,,,
758,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,2.8,,,
759,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,2.8,,,
760,INGENIERIA CIVIL INFORMATICA,10,0,0,0,6,10,:25:17:4:23:22:32,,,,2.8,,,
761,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,7,9,:25:17:4:26:29:22:10,,,,2.8,,,
762,INGENIERIA CIVIL INFORMATICA,32,0,0,0,16,0,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,,,,2.8,,,
763,INGENIERIA EN COMPUTACION E INFORMATICA,24,0,0,0,13,3,:25:17:4:26:29:23:0:22:10:7:32:13:18,,,,2.8,,,
764,INGENIERIA INDUSTRIAL,13,0,0,0,7,9,:4:26:29:23:0:22:10,,,,2.8,,,
765,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,2.8,,,
766,INGENIERIA EN COMPUTACION E INFORMATICA,12,0,0,0,8,8,:25:17:4:26:29:0:22:10,,,,2.8,,,
767,INGENIERIA CIVIL INFORMATICA,21,0,0,0,11,5,:25:4:26:29:0:22:10:3:32:13:18,,,,2.8,,,
768,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,5,11,:25:17:4:29:22,,,,2.8,,,
769,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,2.8,,,
770,INGENIERIA CIVIL INFORMATICA,3,0,0,0,3,13,:17:4:7,,,,2.8,,,
771,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,2.8,,,
772,INGENIERIA CIVIL INDUSTRIAL,2,0,0,0,2,14,:17:4,,,,2.8,,,
773,INGENIERIA CIVIL INFORMATICA,19,0,0,0,10,21,:25:17:4:26:29:23:22:3:42:18,,,,2.8,,,
774,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,2.8,,,
775,INGENIERIA CIVIL INFORMATICA,20,0,0,0,10,6,:25:17:4:26:29:23:0:22:13:18,,,,2.8,,,
776,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,2.8,,,
777,INGENIERIA CIVIL INDUSTRIAL,17,0,0,0,10,6,:25:17:4:26:29:23:0:22:10:18,,,,2.8,,,
778,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,4,12,:25:4:29:23,,,,2.8,,,
779,INGENIERIA CIVIL INFORMATICA,3,0,0,0,1,30,:42,,,,2.8,,,
780,INGENIERIA EN COMPUTACION E INFORMATICA,15,0,0,0,9,7,:25:17:4:26:29:23:0:22:10,,,,2.8,,,
781,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,7,9,:25:17:4:29:23:22:35,,,,2.8,,,
782,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,2.8,,,
783,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:26:29:23,,,,2.8,,,
784,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,2.8,,,
785,INGENIERIA EN COMPUTACION E INFORMATICA,23,0,0,0,12,4,:25:17:4:26:29:23:0:22:10:32:13:18,,,,2.9,,,
786,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,3.0,,,
787,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,5,11,:25:17:4:23:10,,,,3.0,,,
788,INGENIERIA CIVIL INDUSTRIAL,11,0,0,0,7,9,:25:17:4:26:23:10:3,,,,3.0,,,
789,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,3.0,,,
790,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,24,:25:17:4:26:29:23:22,,,,3.0,,,
791,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,7,24,:25:17:4:29:0:22:10,,,,3.0,,,
792,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,3.0,,,
793,INGENIERIA CIVIL INDUSTRIAL,5,0,0,0,4,12,:25:17:4:22,,,,3.0,,,
794,INGENIERIA CIVIL INFORMATICA,12,0,0,0,7,24,:25:17:4:26:29:23:0,,,,3.0,,,
795,INGENIERIA CIVIL INFORMATICA,15,0,0,0,9,7,:25:17:4:26:29:23:0:22:7,,,,3.0,,,
796,INGENIERIA CIVIL INDUSTRIAL,22,0,0,0,12,4,:25:17:4:26:29:23:0:22:10:3:42:32,,,,3.1,,,
797,INGENIERIA CIVIL INDUSTRIAL,8,0,0,0,6,10,:25:17:4:22:10:3,,,,3.1,,,
798,INGENIERIA CIVIL INDUSTRIAL,32,0,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,,,,3.1,,,
799,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,4,12,:17:4:23:22,,,,3.1,,,
800,INGENIERIA CIVIL INFORMATICA,30,0,0,0,15,16,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:35,,,,3.1,,,
801,INGENIERIA CIVIL INFORMATICA,26,0,0,0,12,4,:25:26:23:0:10:3:42:7:32:13:18:35,,,,3.1,,,
802,INGENIERIA CIVIL INFORMATICA,18,0,0,0,9,7,:25:4:0:10:42:7:32:13:35,,,,3.1,,,
803,INGENIERIA EN COMPUTACION E INFORMATICA,13,0,0,0,6,10,:17:4:32:13:18:35,,,,3.1,,,
804,INGENIERIA EN COMPUTACION E INFORMATICA,15,0,0,0,9,22,:25:17:4:26:29:23:0:22:10,,,,3.1,,,
805,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,8,8,:25:17:4:26:29:23:22:10,,,,3.2,,,
806,INGENIERIA EN COMPUTACION E INFORMATICA,31,0,0,0,15,16,:25:17:4:26:29:23:0:22:3:42:7:32:13:18:35,,,,3.2,,,
807,INGENIERIA EN COMPUTACION E INFORMATICA,24,0,0,0,13,3,:25:17:4:26:29:23:0:22:10:7:32:13:18,,,,3.2,,,
808,INGENIERIA CIVIL INFORMATICA,14,0,0,0,8,23,:25:17:4:23:22:10:3:42,,,,3.2,,,
809,INGENIERIA CIVIL INDUSTRIAL,20,0,0,0,11,5,:25:17:4:26:29:23:0:22:10:3:42,,,,3.2,,,
810,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,7,9,:25:17:4:26:29:22:10,,,,3.2,,,
811,INGENIERIA EN COMPUTACION E INFORMATICA,7,0,0,0,5,11,:25:17:4:29:22,,,,3.2,,,
812,INGENIERIA EN COMPUTACION E INFORMATICA,10,0,0,0,6,10,:25:17:22:10:3:42,,,,3.2,,,
813,INGENIERIA INDUSTRIAL,13,0,0,0,8,8,:25:17:4:26:29:23:22:10,,,,3.2,,,
814,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,3.3,,,
815,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:26:29:23,,,,3.3,,,
816,BACHILLERATO EN CIENCIAS,20,0,0,0,11,5,:25:17:4:26:29:23:0:22:10:3:42,,,,3.3,,,
817,INGENIERIA CIVIL INDUSTRIAL,6,0,0,0,4,12,:25:17:26:29,,,,3.3,,,
818,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,5,11,:25:17:4:26:29,,,,3.3,,,
819,INGENIERIA CIVIL INDUSTRIAL,14,0,0,0,8,8,:25:17:4:26:29:23:0:22,,,,3.4,,,
820,INGENIERIA CIVIL INDUSTRIAL,28,0,0,0,15,16,:25:17:4:26:29:23:0:22:10:3:42:7:32:18:35,,,,3.4,,,
821,INGENIERIA CIVIL INDUSTRIAL,25,0,0,0,13,3,:25:17:4:26:29:23:0:22:10:3:42:18:35,,,,3.4,,,
822,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,8,8,:25:17:4:26:29:23:0:10,,,,3.4,,,
823,INGENIERIA CIVIL INDUSTRIAL,2,0,0,0,2,14,:25:4,,,,3.4,,,
824,INGENIERIA CIVIL INDUSTRIAL,22,0,0,0,11,5,:25:17:4:26:29:23:0:22:42:32:35,,,,3.4,,,
825,INGENIERIA CIVIL INFORMATICA,13,0,0,0,8,8,:25:17:4:26:29:0:22:18,,,,3.4,,,
826,INGENIERIA EN COMPUTACION E INFORMATICA,18,0,0,0,10,6,:25:17:4:26:29:23:22:10:18:35,,,,3.4,,,
827,INGENIERIA CIVIL INFORMATICA,31,0,0,0,15,1,:25:17:4:26:29:23:0:22:10:3:42:32:13:18:35,,,,3.4,,,
828,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,5,26,:25:17:4:29:22,,,,3.4,,,
829,INGENIERIA EN COMPUTACION E INFORMATICA,14,0,0,0,8,8,:25:17:4:26:23:0:22:32,,,,3.4,,,
830,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,3.4,,,
831,BACHILLERATO EN CIENCIAS,0,0,0,0,0,16,,,,,3.4,,,
832,INGENIERIA INDUSTRIAL,20,0,0,0,11,20,:25:17:4:26:29:23:0:22:10:3:42,,,,3.4,,,
833,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,8,23,:25:17:4:26:29:0:22:10,,,,3.4,,,
834,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,24,:25:17:4:26:29:22:35,,,,3.4,,,
835,INGENIERIA CIVIL INDUSTRIAL,3,0,0,0,3,13,:25:17:4,,,,3.4,,,
836,INGENIERIA CIVIL INFORMATICA,5,0,0,0,4,27,:25:17:4:32,,,,3.4,,,
837,INGENIERIA EN COMPUTACION E INFORMATICA,32,32,0,0,26,5,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:11:37:28:12:21:38:9,,,3.4,,,
838,INGENIERIA CIVIL INFORMATICA,30,0,0,0,15,16,:25:17:4:29:23:0:22:10:3:42:7:32:13:18:35,,,,3.4,,,
839,INGENIERIA EN COMPUTACION E INFORMATICA,26,0,0,0,12,19,:25:17:4:29:23:0:22:42:32:13:18:35,,,,3.4,,,
840,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,3.4,,,
841,INGENIERIA CIVIL INDUSTRIAL,8,0,0,0,4,12,:25:26:22:35,,,,3.4,,,
842,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,7,9,:25:17:4:26:29:22:10,,,,3.4,,,
843,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,7,24,:25:17:4:29:23:22:35,,,,3.4,,,
844,INGENIERIA CIVIL INFORMATICA,24,0,0,0,12,19,:25:4:29:0:22:10:42:7:32:13:18:35,,,,3.4,,,
845,INGENIERIA CIVIL INDUSTRIAL,8,0,0,0,4,12,:25:26:22:35,,,,3.4,,,
846,INGENIERIA CIVIL INDUSTRIAL,8,0,0,0,5,11,:25:17:4:26:23,,,,3.4,,,
847,INGENIERIA CIVIL INDUSTRIAL,8,0,0,0,5,26,:25:17:4:26:23,,,,3.4,,,
848,INGENIERIA CIVIL INDUSTRIAL,17,0,0,0,10,21,:25:17:4:26:29:23:0:22:10:3,,,,3.4,,,
849,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,7,9,:25:17:4:26:22:10:3,,,,3.4,,,
850,INGENIERIA EN COMPUTACION E INFORMATICA,4,0,0,0,3,13,:25:17:29,,,,3.4,,,
851,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,3.4,,,
852,INGENIERIA CIVIL INFORMATICA,8,0,0,0,5,11,:25:17:4:26:35,,,,3.4,,,
853,INGENIERIA CIVIL INDUSTRIAL,9,0,0,0,6,10,:25:17:4:26:29:22,,,,3.4,,,
854,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,9,7,:25:17:4:26:29:23:22:10:3,,,,3.4,,,
855,INGENIERIA CIVIL INFORMATICA,13,0,0,0,8,8,:17:4:26:29:0:22:10:18,,,,3.4,,,
856,INGENIERIA INDUSTRIAL,24,0,0,0,12,19,:25:17:4:26:0:22:10:3:42:32:13:35,,,,3.4,,,
857,INGENIERIA EN COMPUTACION E INFORMATICA,8,0,0,0,6,10,:25:17:4:26:0:10,,,,3.4,,,
858,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,9,7,:25:17:4:26:29:23:0:22:10,,,,3.4,,,
859,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,3.4,,,
860,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,9,7,:25:17:4:26:29:23:0:22:10,,,,3.4,,,
861,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,3.4,,,
862,INGENIERIA INDUSTRIAL,23,0,0,0,12,19,:25:17:4:26:29:23:0:22:10:3:42:35,,,,3.5,,,
863,INGENIERIA EN COMPUTACION E INFORMATICA,18,0,0,0,10,21,:25:17:4:26:29:23:22:10:3:42,,,,3.5,,,
864,INGENIERIA INDUSTRIAL,26,0,0,0,14,2,:25:17:4:26:29:23:0:22:10:3:42:7:18:35,,,,3.5,,,
865,INGENIERIA EN COMPUTACION E INFORMATICA,15,0,0,0,8,8,:25:17:4:29:23:22:42:32,,,,3.5,,,
866,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,7,9,:25:17:4:23:0:3:35,,,,3.5,,,
867,INGENIERIA EN COMPUTACION E INFORMATICA,15,0,0,0,8,8,:25:17:4:23:0:10:32:13,,,,3.5,,,
868,INGENIERIA EN COMPUTACION E INFORMATICA,10,0,0,0,6,10,:17:4:26:10:42:18,,,,3.5,,,
869,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,3.5,,,
870,INGENIERIA CIVIL INFORMATICA,2,0,0,0,2,14,:17:4,,,,3.5,,,
871,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,3.5,,,
872,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:26:29:23,,,,3.6,,,
873,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,3.6,,,
874,INGENIERIA CIVIL INDUSTRIAL,11,0,0,0,7,9,:25:17:4:23:22:10:3,,,,3.6,,,
875,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,3.6,,,
876,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,7,9,:25:17:4:26:29:22:10,,,,3.6,,,
877,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:0,,,,3.6,,,
878,INGENIERIA CIVIL INDUSTRIAL,3,0,0,0,3,13,:25:17:4,,,,3.6,,,
879,INGENIERIA CIVIL INDUSTRIAL,20,0,0,0,11,5,:25:17:4:26:29:23:0:22:10:3:42,,,,3.6,,,
880,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,3.6,,,
881,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:26:23:0,,,,3.6,,,
882,INGENIERIA EN COMPUTACION E INFORMATICA,27,0,0,0,14,2,:25:17:4:26:29:23:0:22:10:7:32:13:18:35,,,,3.6,,,
883,INGENIERIA EN COMPUTACION E INFORMATICA,3,0,0,0,3,28,:25:17:4,,,,3.7,,,
884,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,3.7,,,
885,INGENIERIA CIVIL INDUSTRIAL,21,0,0,0,12,4,:25:17:4:29:23:0:22:10:3:7:18:35,,,,3.7,,,
886,INGENIERIA CIVIL INDUSTRIAL,25,0,0,0,13,3,:25:17:4:26:29:23:0:22:10:3:42:18:35,,,,3.7,,,
887,INGENIERIA CIVIL INDUSTRIAL,11,0,0,0,7,9,:25:17:4:23:22:10:3,,,,3.7,,,
888,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,3.7,,,
889,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,7,9,:17:4:26:29:23:0:22,,,,3.7,,,
890,INGENIERIA CIVIL INFORMATICA,5,0,0,0,3,28,:25:29:22,,,,3.7,,,
891,INGENIERIA EN COMPUTACION E INFORMATICA,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,3.7,,,
892,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:26:29:23,,,,3.7,,,
893,INGENIERIA EN COMPUTACION E INFORMATICA,26,0,0,0,13,18,:25:17:4:26:29:23:0:22:7:32:13:18:35,,,,3.7,,,
894,INGENIERIA CIVIL INDUSTRIAL,9,0,0,0,6,10,:25:17:4:26:29:22,,,,3.7,,,
895,INGENIERIA CIVIL INFORMATICA,25,0,0,0,13,3,:25:17:4:26:23:0:22:10:7:32:13:18:35,,,,3.7,,,
896,INGENIERIA EN COMPUTACION E INFORMATICA,15,0,0,0,9,22,:25:17:4:26:29:23:0:22:10,,,,3.7,,,
897,INGENIERIA EN COMPUTACION E INFORMATICA,23,0,0,0,12,19,:25:17:4:26:29:23:10:3:42:32:18:35,,,,3.7,,,
898,INGENIERIA CIVIL INDUSTRIAL,27,0,0,0,14,2,:25:17:4:26:29:22:10:3:42:7:32:13:18:35,,,,3.7,,,
899,INGENIERIA CIVIL INFORMATICA,32,0,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,,,,3.7,,,
900,INGENIERIA EN COMPUTACION E INFORMATICA,22,0,0,0,12,19,:25:17:4:26:23:0:22:10:7:32:13:18,,,,3.7,,,
901,INGENIERIA EN COMPUTACION E INFORMATICA,23,0,0,0,12,4,:25:17:4:26:29:23:0:22:10:32:13:18,,,,3.7,,,
902,INGENIERIA EN COMPUTACION E INFORMATICA,13,0,0,0,6,25,:25:17:23:0:32:13,,,,3.7,,,
903,INGENIERIA CIVIL INFORMATICA,32,0,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,,,,3.7,,,
904,INGENIERIA CIVIL INDUSTRIAL,16,0,0,0,10,6,:25:17:4:26:29:23:0:22:10:7,,,,3.7,,,
