rut,programa,hito1,hito2,hito3,hito4,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,sol1,sol2,sol3,sol4
496,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
497,INGENIERIA CIVIL INDUSTRIAL,2,0,0,0,2,29,:25:17,,,,1.0,,,
498,INGENIERIA CIVIL INDUSTRIAL,20,0,0,0,10,6,:25:17:4:26:0:3:32:13:18:35,,,,1.0,,,
499,INGENIERIA CIVIL INFORMATICA,21,0,0,0,11,5,:25:17:4:26:29:23:0:22:10:32:13,,,,1.0,,,
500,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
501,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
502,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
503,INGENIERIA INDUSTRIAL,22,0,0,0,12,19,:25:17:4:29:23:0:22:10:7:32:13:18,,,,1.0,,,
504,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
505,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
506,INGENIERIA INDUSTRIAL,30,0,0,0,17,30,:25:25:17:17:4:4:26:26:29:29:23:0:22:10:32:13:18,,,,1.0,,,
507,INGENIERIA CIVIL INFORMATICA,8,0,0,0,6,10,:25:17:4:26:22:10,,,,1.0,,,
508,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
509,INGENIERIA EN COMPUTACION E INFORMATICA,2,0,0,0,2,14,:25:17,,,,1.0,,,
510,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
511,INGENIERIA EN COMPUTACION E INFORMATICA,19,0,0,0,10,6,:25:17:4:26:29:23:0:7:32:13,,,,1.0,,,
512,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,1.0,,,
513,INGENIERIA EN COMPUTACION E INFORMATICA,19,0,0,0,10,6,:25:17:4:23:0:22:10:32:13:18,,,,1.0,,,
514,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
515,INGENIERIA CIVIL INDUSTRIAL,2,0,0,0,2,14,:25:17,,,,1.0,,,
516,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,1.0,,,
517,INGENIERIA CIVIL INDUSTRIAL,11,0,0,0,7,9,:25:17:4:26:0:22:32,,,,1.0,,,
518,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,1.0,,,
519,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
520,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,8,8,:25:17:26:23:0:22:3:32,,,,1.0,,,
521,INGENIERIA EN COMPUTACION E INFORMATICA,17,0,0,0,10,6,:25:17:4:26:29:23:0:22:10:3,,,,1.0,,,
522,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,8,8,:25:17:4:26:29:0:22:10,,,,1.0,,,
523,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,7,24,:17:4:29:23:0:22:32,,,,1.0,,,
524,INGENIERIA CIVIL INFORMATICA,1,0,0,0,1,31,:25,,,,1.0,,,
525,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,8,8,:25:17:4:26:29:0:10:42,,,,1.0,,,
526,INGENIERIA CIVIL INFORMATICA,9,0,0,0,7,9,:25:17:4:26:22:10:7,,,,1.0,,,
527,INGENIERIA EN COMPUTACION E INFORMATICA,21,6,0,0,17,14,:25:4:26:29:23:0:22:10:3:42:32:18:35,:6:44:37:28,,,1.0,,,
528,INGENIERIA EN COMPUTACION E INFORMATICA,22,0,0,0,12,19,:25:17:4:26:22:10:3:7:32:13:18:35,,,,1.0,,,
529,INGENIERIA EN COMPUTACION E INFORMATICA,13,0,0,0,9,7,:25:17:4:26:29:0:3:42:7,,,,1.0,,,
530,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,1.0,,,
531,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
532,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,1.0,,,
533,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:26:23:0,,,,1.0,,,
534,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,1.0,,,
535,INGENIERIA CIVIL INFORMATICA,2,2,0,0,4,27,:25:17,:6:44,,,1.0,,,
536,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,7,9,:25:17:4:26:23:22:42,,,,1.0,,,
537,INGENIERIA CIVIL INDUSTRIAL,16,0,0,0,9,7,:25:17:4:26:29:23:0:22:3,,,,1.0,,,
538,INGENIERIA CIVIL INDUSTRIAL,14,0,0,0,9,7,:25:17:4:26:29:0:22:10:3,,,,1.0,,,
539,INGENIERIA EN COMPUTACION E INFORMATICA,19,0,0,0,10,6,:25:17:4:26:29:23:22:10:32:13,,,,1.0,,,
