oid,nombre,s1,s2,s3,s4,k1,k2,k3,k4,hito,skill,knowledge,complexity
7a1fcba4d7f24d129224d62accfef216,Multiplicación de Matrices ,0,1,0,0,0,1,1,1,3,4,7,71
7da6cedd04c44a15b5e421440253acff,El antipoema,0,0,1,0,0,1,1,1,2,2,7,39
7f60644b0a1b484681ae5c8e36166c58,Signo del Zodíaco,0,0,0,1,0,0,0,1,1,1,1,17
80c61dae74fa4915bf272ab17dfa62ff,Conversor de Decimal a Binario,0,0,0,0,0,0,1,0,1,0,2,2
82e092a2744544d1b6cedde23d4596a5,Clase Vector3D,0,0,0,1,1,1,1,1,3,1,15,31
89f44e7f5842479fb283e43c52ce067b,Ordenar tres números,0,0,0,0,0,0,0,1,1,0,1,1
8f24397e36034cccb71e9d578975c33d,Contestador Automático,0,0,0,0,0,0,1,1,1,0,3,3
995f2cf9681542a4a4738de074275f4a,Decodificador,0,0,1,0,0,1,1,1,3,2,7,39
9e02c76901da440ba1b70f0a75d8ae89,Encriptador ROT13,0,0,1,0,0,1,1,1,2,2,7,39
a3963220090f4e50a266ce53d33b9841,Aprobación de Créditos,0,0,0,0,0,0,1,1,1,0,3,3
abbcd12771fd45ca823f6222f72b48c8,Interpretar Expresiones Matématicas,1,1,0,0,0,1,1,1,4,12,7,199
abc052e584734d0f8121d5e5ca659f82,Carro de Compras,0,0,1,0,0,1,1,1,2,2,7,39
ac7382763e484d37908da54c076f7577,Cajero Automático Nivel 1,0,0,0,0,0,0,1,1,1,0,3,3
b16016fbdbf04317871d334cc4da6eae,Alineamiento de Secuencias,0,1,0,0,0,1,1,1,2,4,7,71
b5e026a9cf014d71b110c58108a21752,Ornitología 3,0,0,0,0,1,1,0,0,3,0,12,12
baf2f8e0167a4e089d2cec16582c9ae9,Factores Primos,0,0,0,1,0,0,1,1,1,1,3,19
be17b556785c428e8dabbef0c9d11f6f,Pintar Región,1,0,0,0,0,1,1,1,4,8,7,135
c0a2cd8059d44afb822a031066678092,Jerigonzo,0,0,1,0,0,1,1,1,2,2,7,39
c0d9a3b2f7be46dab1f792c7fbd365b9,Decodificador,0,0,1,0,0,1,1,1,2,2,7,39
cb796b16ddf1435da29b223fc084c847,Clase Fracción,0,0,0,1,1,1,1,1,3,1,15,31
d28eb11da0a44881be979e551d122eb9,Juego del Gato,0,1,0,1,1,1,1,1,3,5,15,95
d44d5fead16c47a986287ff2bc48d20f,Clase FechaHora,0,0,1,0,1,1,1,1,3,2,15,47
d8395f43e4a1454d90346ac5a1ba561a,Números Amigos,0,0,0,0,0,0,1,1,1,0,3,3
d849ec19c3834c2b9c9ff2ab34d2f3e3,Clase Usuario,0,0,1,1,1,1,1,1,3,3,15,63
db7987d040dc469a9c247d54dd72939a,Números Perfectos,0,0,0,1,0,0,1,1,2,1,3,19
db873d7e50684080ba8f39aed56b288e,Carro de Compras,0,0,1,0,1,1,1,1,3,2,15,47
dd1000315e5b43ac89ae1d416400d9d6,Pokemon,0,0,1,1,1,1,1,1,3,3,15,63
e6093c934b8c40b4bee9969b32a30bed,El problema de la mochila,1,1,0,0,0,1,1,1,4,12,7,199
e72db1cb2e9f400990cfa3b464d0391a,Sopa de Letras,0,1,0,1,0,1,1,1,2,5,7,87
e8a9dc7b6127482987d9b6dbca73ec5e,Caminos entre ciudades,0,0,1,0,1,1,1,1,3,2,15,47
e9df502fccd9455a8a7609d542a857c8,MCM recursivo,0,0,0,1,0,0,1,1,4,1,3,19
eb91ed4e997b4ca98f3c86e3e86a3755,Combinaciones de Números Binarios,1,1,0,0,0,1,1,1,4,12,7,199
f7f404137f974160bcbfa423f5d35eda,Ornitología 2,0,0,0,0,1,0,0,0,3,0,8,8
