idx,oid,nombre,h4,h3,h2,h1,s4,s3,s2,s1,k4,k3,k2,k1
41,d44d5fead16c47a986287ff2bc48d20f,Clase FechaHora,0,1,0,0,0,0,1,0,1,1,1,1
45,db873d7e50684080ba8f39aed56b288e,Carro de Compras,0,1,0,0,0,0,1,0,1,1,1,1
49,e8a9dc7b6127482987d9b6dbca73ec5e,Caminos entre ciudades,0,1,0,0,0,0,1,0,1,1,1,1
43,d849ec19c3834c2b9c9ff2ab34d2f3e3,Clase Usuario,0,1,0,0,0,0,1,1,1,1,1,1
46,dd1000315e5b43ac89ae1d416400d9d6,Pokemon,0,1,0,0,0,0,1,1,1,1,1,1
20,7a1fcba4d7f24d129224d62accfef216,Multiplicación de Matrices ,0,1,0,0,0,1,0,0,0,1,1,1
15,61538386ed7e4b889ff17395cfec7c6b,Twitter,0,1,0,0,0,1,0,1,0,1,1,1
40,d28eb11da0a44881be979e551d122eb9,Juego del Gato,0,1,0,0,0,1,0,1,1,1,1,1
50,e9df502fccd9455a8a7609d542a857c8,MCM recursivo,1,0,0,0,0,0,0,1,0,0,1,1
5,24b87304a1eb4e95856da7f574a66fe8,Validador de Expresiones Matemáticas,1,0,0,0,1,0,0,0,0,1,1,1
36,be17b556785c428e8dabbef0c9d11f6f,Pintar Región,1,0,0,0,1,0,0,0,0,1,1,1
30,abbcd12771fd45ca823f6222f72b48c8,Interpretar Expresiones Matématicas,1,0,0,0,1,1,0,0,0,1,1,1
47,e6093c934b8c40b4bee9969b32a30bed,El problema de la mochila,1,0,0,0,1,1,0,0,0,1,1,1
51,eb91ed4e997b4ca98f3c86e3e86a3755,Combinaciones de Números Binarios,1,0,0,0,1,1,0,0,0,1,1,1
